Centris no,Type,Date Listed,Status,Address,Size,Active price,Taxes,Old prices,Zoning,Coordinates,Description
24273521,Lot for sale,2023-06-20,Active,"328, Chemin de la Colonie, Val-des-Monts, Neighbourhood Saint-Pierre de Wakefield",52068 sqft,85000,NO,"0,00",Residential,45.6565784700--75.8021138000,"Magnificent 1.2 acre wooded lot ready to build the home of your dreams. It's within a 2 minute walk from Lac St-Antoine with a private beach. Motor boats are prohibited, very quiet location. Close to the ski slopes and the Edelweiss golf club. Only 15 minutes from the Wakefield village."
24558923,Lot for sale,2023-06-20,Active,"B, Croissant des Trois-Lacs, Lantier",293854 sqft,184500,YES,"0,00",Residential,46.1528430500--74.2537593800,"This beautiful and large wooded lot with mature trees is ideal and could be your private domain. It is located in front of a municipal street with electricity and cleared of snow by the municipality in the heart of the village of Lantier and a few minutes from Ste Agathe des Monts, the hospital, schools and services offered there."
9697854,Land for sale,2023-06-20,Active,"Chemin du 10e-Rang, Lantier",5328916 sqft,327900,YES,"0,00","Agricultural, Other, Commercial, Forest, Residential",46.1376605500--74.2831903600,"Take advantage of a rarity in the Laurentians, a magnificent haven of peace of more than 5.3 million square feet. With a length of more than 1.6 km, this immense terrain includes mountains, cliffs, streams, waterfalls, magnificent viewpoints and a superb forest made up in part of maple trees. This majestic wooded property is surrounded by mountains and backs onto public land, to the delight of nature lovers who want to expand their hunting, gathering and hiking territory. In addition, lakes/ponds are located very close to the field, on public land. Only + - 1 hour from Laval."
22141513,Lot for sale,2023-06-20,Active,"Chemin des Skieurs, Mont-Tremblant, Neighbourhood Tremblant (Station)",175785 sqft,950000,YES,"0,00",Residential,46.2276473300--74.6010778800,"** Sommets du Lac Tremblant ** Lot # 20: Lake and mountain views ** Superb 4 acres lot in this magnificent project with beautiful access to Lac-Tremblant. Build the residence of your dreams in the most exclusive private domain of Mont-Tremblant surrounded by nature. An exceptional view, sunshine from the south and west side, UNIQUE. You have to see it IN PERSON because in reality it is SPECTACULAR. This land is located a 5-minute walk from Lac-Tremblant and the ski slopes."
25223697,Lot for sale,2023-06-20,Active,"1, Chemin de la Carrière, Duhamel-Ouest",36416 sqft,33832,YES,"0,00",Residential,47.3072660000--79.4581540000,"Nouveau développement situé à Duhamel-Ouest à 2 minutes de Ville-Marie. Grand terrain de campagne où vous pourrez construire la maison de vos rêves. Aucun délai de construction. Il y a d'autres terrains de disponible, communiquez avec nous pour choisir celui qui vous convient."
10462913,Lot for sale,2023-06-20,Active,"652, Rue Gauvin, Granby",21192 sqft,350000,YES,"0,00",Residential,45.3766396300--72.7299450200,"Rare sur le marché! 1 lot de 21183 pc qui peut se diviser en deux dans une rue en Cul-de-sac.  Les services d'Aqueduc et d'égout sont sur place et l'auto-construction est  permise. Près des écoles primaires et secondaires, à proximité des axes routiers. Beau parc à coté."
20784217,Lot for sale,2023-06-20,Active,"Chemin du Lac-Pelletier, Wentworth-Nord",156208 sqft,205000,YES,"0,00",Residential,45.8762140400--74.3102238800,"The DOMAINE DU LAC PELLETIER is a residential community and resort project in the Laurentians. All estate residents have access to Lake Pelletier and the Viking cross-country ski trails that cross the estate in several places. The domain is located just 1 hour from Montreal, 15 minutes from St-Sauveur, and 5 minutes from the rural village of Morin-Heights. All services are nearby, and you can easily access Alpine ski resorts. Access to Hydro QC, high-speed internet, and snow removal. Come and live a life surrounded by nature as you have always dreamed of."
24807936,Lot for sale,2023-06-20,Active,"4605, boulevard Marie-Victorin, Sainte-Catherine",19033 sqft,995000,YES,"0,00","Commercial, Residential",45.4023081400--73.5581104400,"Grand terrain de plus de 19 000 pieds carrés, emplacement de choix situé au coin de Marie-Victorin et Boul. Des Écluses, face au fleuve St-Laurent, vue sur l'eau et la ville. Zonage autorisant les multi-logements. Possibilité de 19 logements, le PPUD est finalisé et autorise un immeuble de 4 étages résidentiel et possibilité d'un 5e étage avec un rez-de-chaussée commerciale."
10057448,Lot for sale,2023-06-20,Active,"Avenue Angers, Rouyn-Noranda, Neighbourhood Noranda-North",23769 sqft,149900,NO,"0,00",Residential,48.2787078500--79.0272280400,"***RARETÉ*** Vous avez un projet de construction, mais il vous manque le terrain de vos rêves? N'attendez plus! En voici un, qui inclut déjà les services de la ville. D'une superficie de près de 24 000 pi2, il est situé dans un rond point, dans un secteur familial recherché. Il est prêt à y recevoir votre propriété sans délai."
21821222,Lot for sale,2023-06-20,Active,"Chemin Kirkpatrick, Morin-Heights",394987 sqft,199500,YES,"0,00",Residential,45.8582290000--74.2687010000,"Magnifique terrain de 9 acres plat et boisé  longé par le ruisseau Jackson. Belle vue sur les montagnes À quelques minutes des commodités, de vos loisirs   ( sentiers de ski de fond et de raquette, sentiers pédestres et vélo de montagne ), bordé par un ruisseau , chemin d'accès déjà en place . Prêt à construire."
15378496,Lot for sale,2023-06-20,Active,"425, Rue des Camérisiers, Saint-Nazaire",7018 sqft,16100,YES,"0,00",Residential,48.5865867900--71.5537765900,"Terrain dans un nouveau quartier en développement à Saint-Nazaire, prêt d'un parc pour enfant avec des jeux d'eau. Saint-Nazaire là où il est idéal d'installer sa famille pour y vivre en paix et dans la tranquillité. Pascal Audibert 418-487-8779 / David Bouchard 418-319-5451"
11576507,Lot for sale,2023-06-20,Active,"Chemin des Conifères, Chertsey",99868 sqft,130000,YES,"0,00","Recreational and tourism, Residential",46.1477205500--73.7239766500,"BESIDE HABITAT | Living environments where humans and nature coexist and are part of the same ecosystem! A minimal and sustainable project nestled in a breathtaking landscape. An ideal place for your home base in Lanaudière, close to various seasonal activities: trails, lakes, canoeing, kayaking, stand-up paddleboarding, hiking, access to a protected nature park, and flexible rental management to maximize your income. Two types of construction available to meet your needs. It's your turn to create memories in an environment as warm as it is picturesque."
13868741,Lot for sale,2023-06-20,Active,"19, Île du Canard-Blanc, Lac-Simon",55724 sqft,50000,YES,"0,00",Residential,45.9411856700--75.0928322000,"Superbe terrain de 55724 pieds carrés sur l'île du Canard-Blanc au Lac-Simon, Qc. Plusieurs terrains de disponible et ce selon vos besoins! Accès notarié à une plage! Pour de plus amples informations, veuillez me contacter! Il me fera un plaisir de répondre à toute vous questions! Véritable aubaine!"
18612244,Lot for sale,2023-06-20,Active,"2652, Chemin du Lac-Vert, Saint-Nérée-de-Bellechasse",45044 sqft,39900,NO,"0,00",Residential,46.6899154700--70.7236768900,Magnifique terrain boisé constructible. Plus de 45 000 pieds carrés à moins de 0.89$ le pieds carré.  Situé près du Lac Vert à St-Nérée de Bellechasse à moins de 40 minutes des ponts. Bel endroit de villégiature ou il fait bon vivre.
